priority,prospect,segment,website,angle,status
1,Elaine Lou Business and Career Coach,Founder-led expert,https://elainelou.com/,"Where is AI close but still needing expert correction in content, sales, or delivery?",manual_review_required
2,Matt Gerlach,Founder-led expert,https://mattgerlach.com/,"Last AI output you had to rewrite manually.",manual_review_required
3,Toussi International,Founder-led expert,https://www.samitoussi.com/,"Career/business coaching workflows that still need human judgment.",manual_review_required
4,Wave Makers Group,Marketing consultant,https://www.wavemakersgroup.com/,"Client content/offer workflows where AI sounds generic.",manual_review_required
5,facilitybrand,Marketing consultant,http://facilitybrand.com/,"Brand judgment and customer-language workflows.",manual_review_required
6,MochaBear Marketing,Marketing consultant,http://mochabearmarketing.com/,"AI output quality and client delivery proof.",manual_review_required
7,COLAB Los Angeles,Marketing agency,https://colablosangeles.com/,"Are clients buying automation before workflows are clear enough?",manual_review_required
8,INTELLIGEN AI,AI-forward agency,https://intelligenai.online/,"AI delivery diagnostics and agent-readable proof layer.",manual_review_required
9,Heed AI Solutions,AI-forward consultant,https://heedaisolutions.com/,"Diagnostic before automation build.",manual_review_required
10,The Trusted Automation,AI-forward consultant,https://thetrustedautomation.com/,"Automation clarity and approval boundaries.",manual_review_required
