idea_id,topic,north_star,bucket,source,attention_potential,time_to_create,smart_score,surprising_or_actionable,status
I01,"Transparent Labs owns 'full,' not 'clean'","Product truth should lead before category adjectives",Growth,"Transparent Labs public-surface teardown captured 2026-07-27",5,3,8,"Surprising: the formula is the moat while reviews center taste",selected
I02,"The best supplement-counter sale was often no sale","Buyer trust is built when judgment outranks the transaction",Authority,"Farrice Proof Library and Vitamin Shoppe experience",4,4,8,"Surprising personal authority with a plain commercial standard",selected
I03,"Twenty new hooks can hide one unchanged belief","Production volume cannot settle an unmade campaign decision",Authority,"Meta Ad Library workflow and ICP Truth Map",5,5,10,"Actionable four-question belief audit",selected
I04,"Momentous buried 32-of-32-team proof beneath mixability","The strongest proof asset should own the first screen",Growth,"Momentous public-surface teardown captured 2026-07-27",5,3,8,"Surprising proof hierarchy contrast",selected
I05,"Legal did not kill the angle; the claim was doing the angle's job","Claim-safe creative can stay decisive",Authority,"FTC Health Products Compliance Guidance and claim-safety canon",4,4,8,"Actionable distinction between claim and campaign belief",selected
I06,"Create measured 4.59g while competitors measured zero","Measured product truth beats a seasonal adjective",Growth,"Create Wellness public-surface teardown captured 2026-08-07",5,3,8,"Surprising third-party test result and buried proof",selected
I07,"The Control-Beater offer without invented performance proof","A small guarantee-backed test should precede a large promise",Conversion,"Ratified 2026-08-28 offer and profile package",4,5,9,"Actionable bounded offer with explicit proof limits",selected
I08,"The formula removed the bottles; the page kept every decision","One lead belief must organize a multi-benefit product",Authority,"Official DIZZY, Isagenix WITHIN, and Attaboy product pages checked 2026-08-29",5,3,8,"Surprising category pattern across three named launches",selected
I09,"Puori lets buyers scan the exact batch but sells generic purity","Verification becomes persuasive only when the buyer can hold it",Growth,"Puori public-surface teardown captured 2026-07-27",5,3,8,"Surprising Costco comparison against batch-level proof",selected
I10,"I bought supplements for confidence before I understood the label","Buyer desire deserves truth, not ridicule",Personal,"Farrice Proof Library and approved About narrative",4,4,8,"Personal scene that explains the claim-honesty position",selected
I11,"Ritual's Costco price published a second promise","Retail expansion forces the subscription to earn a distinct job",Growth,"Ritual official Costco and product pages captured 2026-08-16",5,3,8,"Surprising price-message collision",queue
I12,"The 10g creatine race is a temporary moat with a permanent margin cost","A dose number is not a durable campaign position",Growth,"NutraIngredients product-launch sheet captured 2026-08-27",5,3,8,"Actionable reformulation decision test",queue
I13,"Compare the age of your oldest competitor ad with your newest three","Creative age can reveal whether volume is hiding sameness",Authority,"2026 ad-library age-gap research, single-vendor evidence labeled LIKELY",5,4,9,"Ten-minute self-audit with no dashboard required",queue
I14,"Third-party tested is reassurance until the buyer can inspect the proof","Proof must answer a buyer question, not decorate a trust bar",Authority,"Lot-specific testing research and Puori/Transparent Labs teardowns",4,4,8,"Actionable proof deployment ladder",queue
I15,"A creator brief needs explicit claim boundaries before the record button","The brief must show creators what not to say",Authority,"Creator-campaign claim-risk listening brief captured 2026-08-04",4,3,7,"Actionable brief repair",queue
I16,"The subscription failed in the promise clock before the cancel flow","Retention starts with when the ad tells the buyer to expect a result",Growth,"Founder acquisition-economics and buyer-language research captured 2026-08-11",5,3,8,"Connects acquisition promise to reorder economics",queue
I17,"The Customer-Language Bank as the research layer behind angles","Customer words should arrive before campaign copy",Conversion,"Offer Test Map T2, created 2026-08-28",4,5,9,"Concrete research artifact without a large engagement",queue
I18,"The Rejection Autopsy for one killed Meta ad","A specific recent failure is easier to buy than abstract strategy",Conversion,"Offer Test Map T1, created 2026-08-28",4,5,9,"Concrete 24-hour diagnosis and rewrite",queue
I19,"How an Angle Map decides what to build first","A strategy artifact must end in an executable decision",Authority,"Angle Map Delivery Protocol and canonical offer",3,4,7,"Behind-the-scenes decision anatomy",queue
I20,"Why the results ledger stays empty until a post is published","Systems should not grade readiness as traction",Personal,"LinkedIn OS posts ledger and Farrice human-taste calibration",4,4,8,"Transparent zero-state lesson, held to avoid AI-topic drift",hold
