rank,story_id,title_internal,bounded_moment,audience,topics,service_actions,score,source_media_id,source_permalink,privacy_state,proof_ceiling,packet_state
1,JEN-STORY-3649149840022995324,"Navigating a competitive market and tight inventory wasn’t easy, but we stayed patient, strategic, a","Navigating a competitive market and tight inventory wasn’t easy, but we stayed patient, strategic, and ready—and when this beauty hit the market, we acted fast and smart. we secured the home at almost $100K below list price and the keys to what will now be their dream home. 🔑🏠

Helping buyers 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,PROTECTED,87,3649149840022995324,https://www.instagram.com/p/DKkYnIKvoF8/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
2,JEN-STORY-3491992339055886166,She didn’t want to sell it just yet so we helped her find a tenant to lease it out for a year. We he,She didn’t want to sell it just yet so we helped her find a tenant to lease it out for a year. We helped our client buy this unit as her first home early in 2022. 🏡🎉 JUST SOLD!,BUYER; SELLER,life transitions around home,,80,3491992339055886166,https://www.instagram.com/p/DB2DIfvz79W/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
3,JEN-STORY-3450723122457326635,"I talked to Danielle and Walter about the home buying process last year, but we didn’t get started o","I talked to Danielle and Walter about the home buying process last year, but we didn’t get started on anything until they found out they were expecting baby #2 this year. We quickly got a home in escrow, but we found a lot of problems during the inspection so it fell through. 🏡🎉 JUST SOLD!",BUYER; SELLER,decision clarity,,80,3450723122457326635,https://www.instagram.com/p/C_jbmWsS7Qr/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
4,JEN-STORY-2040901388431859550,Just sold our beloved Zen hideaway for more than list price with multiple offers. Although the selle,"Just sold our beloved Zen hideaway for more than list price with multiple offers. Although the seller is sad to let her Koi fish go, I’m sure we found amazing buyers who will love and appreciate the home as much as her.",BUYER; SELLER,client move stories,,80,2040901388431859550,https://www.instagram.com/p/BxSvP_nFR9e/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
5,JEN-STORY-3078868405738949423,"Our client had some extra money that they wanted to invest, but didn’t know where, or how. we review","Our client had some extra money that they wanted to invest, but didn’t know where, or how. we reviewed the HOA docs for our clients, we saw that they were already the owner-to-tenant ratio, and the HOA didn’t even know! Our client 🏡🎉 JUST SOLD!",,client move stories,PROTECTED,79,3078868405738949423,https://www.instagram.com/p/Cq6VoCiPksv/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
6,JEN-STORY-2847796387484832355,"With time ticking, we felt like they just couldn’t find the perfect home. I negotiated a longer escr","With time ticking, we felt like they just couldn’t find the perfect home. I negotiated a longer escrow with a contingency Well here we are!",BUYER,work clients never carried,PROTECTED,77,2847796387484832355,https://www.instagram.com/p/CeFZ7nkrJJj/,DEIDENTIFIED,EXPERIENCE,DEEP
7,JEN-STORY-3890689457757722452,Multiple offers after the first weekend. A buyer hearing their offer was accepted.,Multiple offers after the first weekend. A buyer hearing their offer was accepted.,BUYER; SELLER,local life and homes,,75,3890689457757722452,https://www.instagram.com/p/DX-gXK1AZdU/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
8,JEN-STORY-3889806949093282222,We reached out directly to the seller—who wasn’t initially planning to sell—and opened a conversatio,"We reached out directly to the seller—who wasn’t initially planning to sell—and opened a conversation that changed everything. And just like that, a tenant became a homeowner in the place they already called home.",BUYER; SELLER,client move stories,,75,3889806949093282222,https://www.instagram.com/p/DX7Xs-ljRGu/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
9,JEN-STORY-3839037178341317959,"Yes, multiple offers are happening again in today’s real estate market. We found a property they lov","Yes, multiple offers are happening again in today’s real estate market. We found a property they loved, a remodeled home with an ADU for under $1M, which is pretty hard to find in the Valley right now.",BUYER; SELLER,decision clarity,,75,3839037178341317959,https://www.instagram.com/p/DVG__k-jV1H/,DEIDENTIFIED,EXPERIENCE,DEEP
10,JEN-STORY-3641862223476773966,") for them, but I negotiated over $115k off the original list price of the home, made sure the premi",") for them, but I negotiated over $115k off the original list price of the home, made sure the premium appliance package was included in the price, and also got them an additional $30k in lender credits towards closing costs, to which they ultimately used to buy down their interest rate. 🏡🎉 JUST SOLD!",BUYER; SELLER,decision clarity,,75,3641862223476773966,https://www.instagram.com/p/DKKfmWXP1RO/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
11,JEN-STORY-3636825719138283445,"When this seller decided to list his Valencia condo, we discovered something surprising during our p","When this seller decided to list his Valencia condo, we discovered something surprising during our pre-listing process - a major title issue with two separate parcel numbers that could have been a huge issue or cause some delays and potential loan roadblocks! 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,75,3636825719138283445,https://www.instagram.com/p/DJ4mbkLPe-1/,DEIDENTIFIED,EXPERIENCE,BANK
12,JEN-STORY-3620843265613137319,"We listed the property at the beginning of the year and in just 3 weeks, we had multiple offers in h","We listed the property at the beginning of the year and in just 3 weeks, we had multiple offers in hand! 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,75,3620843265613137319,https://www.instagram.com/p/DI_0cQaPIWn/,DEIDENTIFIED,EXPERIENCE,BANK
13,JEN-STORY-3617244710093778186,"), but with strategic pricing and targeted marketing, we found that perfect buyer who fell in love w","), but with strategic pricing and targeted marketing, we found that perfect buyer who fell in love with all the same special details my clients adored when they first purchased. 🏡🎉 JUST SOLD!",BUYER; SELLER,client move stories,,75,3617244710093778186,https://www.instagram.com/p/DIzCOYazO0K/,DEIDENTIFIED,EXPERIENCE,DEEP
14,JEN-STORY-3510924456154042979,He was referred to us and after viewing 5 homes we found him a house he loved and we closed it in 12,"He was referred to us and after viewing 5 homes we found him a house he loved and we closed it in 12 days, right in time for the Thanksgiving holiday. 🏡🎉 JUST SOLD!",BUYER,client move stories,,75,3510924456154042979,https://www.instagram.com/p/DC5TzDySxJj/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
15,JEN-STORY-3509316585553410599,He browsed around online but didn’t think he could actually afford a house. 🏡🎉 JUST SOLD!,He browsed around online but didn’t think he could actually afford a house. 🏡🎉 JUST SOLD!,BUYER,client move stories,,75,3509316585553410599,https://www.instagram.com/p/DCzmNdmTDon/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
16,JEN-STORY-3476036049305586443,"I’ve celebrated quite a few milestones with these two, but nothing beats helping them buy a home, es","I’ve celebrated quite a few milestones with these two, but nothing beats helping them buy a home, especially because they didn’t think they could. 🏡🎉 JUST SOLD!",BUYER; SELLER,local life and homes,,75,3476036049305586443,https://www.instagram.com/p/DA9XF65T8sL/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
17,JEN-STORY-3225364273742393774,I helped Gina and NJ sell their townhome a couple years ago to cash out on their equity. 🏡🎉 JUST SOL,I helped Gina and NJ sell their townhome a couple years ago to cash out on their equity. 🏡🎉 JUST SOLD!,BUYER,travel and experience design,,75,3225364273742393774,https://www.instagram.com/p/CzCy7ffprGu/,DEIDENTIFIED,EXPERIENCE,DEEP
18,JEN-STORY-3211540742346173213,But that didn’t keep us from formulating a great marketing strategy for our seller. 🏡🎉 JUST SOLD!,But that didn’t keep us from formulating a great marketing strategy for our seller. 🏡🎉 JUST SOLD!,SELLER,client move stories,,75,3211540742346173213,https://www.instagram.com/p/CyRr0opPOsd/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
19,JEN-STORY-3015200521610824606,Our seller had inherited this property after his aunt had passed away. 🎉🏡 JUST SOLD!,Our seller had inherited this property after his aunt had passed away. 🎉🏡 JUST SOLD!,SELLER,grief growth and resilience,,75,3015200521610824606,https://www.instagram.com/p/CnYJOYxL4ue/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
20,JEN-STORY-2886175364837876028,"Situated in a highly desirable pocket of Woodland Hills, our seller got multiple offers and over $15","Situated in a highly desirable pocket of Woodland Hills, our seller got multiple offers and over $150K more than she asked for. We made sure to price strategically, and maximize marketing to ensure shortest amount of marketing time and maximum profits.",SELLER,local life and homes,,75,2886175364837876028,https://www.instagram.com/p/CgNwTPkpSE8/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
21,JEN-STORY-2607586411602168802,What they didn’t know was HOW MUCH equity was in there! We helped them sell it with multiple offers ,What they didn’t know was HOW MUCH equity was in there! We helped them sell it with multiple offers and for more than asking.,SELLER,client move stories,,75,2607586411602168802,https://www.instagram.com/p/CQwAgaYrsvi/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
22,JEN-STORY-2419346901720876857,"Although the first accepted offer fell through, we received multiple offers, so there was no headach","Although the first accepted offer fell through, we received multiple offers, so there was no headache for our sellers to get this back under contract.",SELLER,client move stories,,75,2419346901720876857,https://www.instagram.com/p/CGTPzBZg8c5/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
23,JEN-STORY-2404284749821639490,so a few weeks before turning 30 i was beating myself up for still renting. but just a few months af,"so a few weeks before turning 30 i was beating myself up for still renting. but just a few months after my birthday that year, i closed escrow on my own purchase.",BUYER,ownership and entrepreneurship,,75,2404284749821639490,https://www.instagram.com/p/CFdvD3UAftC/,DEIDENTIFIED,EXPERIENCE,BANK
24,JEN-STORY-2061270147913522459,"Even though Los Angeles has been wondering where the warm weather has been, and it has only began to","Even though Los Angeles has been wondering where the warm weather has been, and it has only began to heat up in the last week, the real estate market is proof that its already HOT as we just sold another one after receiving multiple offers.",SELLER,local life and homes,,75,2061270147913522459,https://www.instagram.com/p/BybGkdIgJ0b/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
