0	4800	There are two ways of making money. You
2000	5120	can either make desirable things or you
4800	4480	can make things desirable.
7120	4040	And there's not much you can do about
9280	6400	the laws of physics. Whereas the laws of
11160	4520	psychology are magnificently malleable.
20000	4160	>> We know about you, but do you know
22680	3720	what you're getting into at all?
24160	2800	>> Up to a point. I know of the podcast
26400	3600	quite well.
26960	4800	>> I know that you're like recently a
30000	2599	kind of a social media star. You even
31760	2920	though you've been killing it for
32599	3721	decades, I heard a story about how
34680	3200	someone just started like uploading some
36320	2960	of your talks and it went viral and then
37880	3960	you said, "Maybe I should do this."
39280	4560	>> It happened I think accidentally and
41840	4720	I've kind of reverse engineered what
43840	6200	happened, which is that most marketing
46560	5960	people talk about what they do and my
50040	4320	argument is of necessity I started
52520	3400	talking about how we think and
54360	3680	consequently,
55920	4840	you know, the willingness to accept the
58040	5280	fact that surprisingly all arbitrary
60760	5600	seeming trivial decisions may have a
63320	5480	monumental effect on is actually
66360	4240	necessary to have a proper understanding
68800	4160	of living in a complex
70600	3680	inter- you know, interconnected system.
72960	3800	You know, if you believe there are
74280	3880	important strategic things and then
76760	3520	there are trivial things which you
78160	4400	delegate down to junior people and in
80280	4080	which you have no interest whatsoever,
82560	5000	fundamentally I think you're missing the
84360	4400	point because the real world isn't like
87560	3440	that. It's you know, it's full of
88760	4480	butterfly effects, all of the bullets,
91000	4680	you know, you know, small things.
93240	4840	Alchemy I call my book because you can
95680	4280	turn lead into gold. You can literally
98080	3960	take something which is seen as a
99960	4240	product disadvantage
102040	3760	and turn it into a strength.
104200	4080	>> I think you had a good example of that
105800	4760	with uh Have you ever heard Sean the
108280	2880	story of how horsepower kind of came to
110560	1920	be?
111160	3520	>> No.
112480	4120	>> Can can tell that story?
114680	3320	>> So one of my one of my great contentions
116600	3800	is that when we look at great
118000	6640	entrepreneurs or great inventors, Jobs,
120400	7240	you know, if you say Edison, Ford, Watt,
124640	6039	Boulton, they tend to be written
127640	5600	up as historians as inventors. And my
130679	6241	argument is that an
133240	5520	invention isn't an innovation until it
136920	3039	changes behavior.
138760	3000	I think it's Stewart Butterfield of
139959	3761	Slack who said something very similar.
141760	3720	You know, the only real measure of the
143720	4239	effect of you're having on innovation is
145480	3880	the extent to which you change behavior.
147959	3000	And you can invent anything you like,
149360	3480	but if you can't get anybody to adopt
150959	3201	it, it's an invention, but it's not an
152840	4880	innovation.
