signal_id,platform,creator,topic,hook_text,url,views,baseline_views,outlier_multiplier,engagement_rate,lead_rate,outlier_score,confidence,winner_line_status,reason_codes
6815cd649f18,instagram,tiago_dallasrealtor,P1: Money you can live with,Don’t Make This Mistake,https://www.instagram.com/reel/DaNqCi_OXeQ/,1700000.0,446.25,3809.5238,,,3809.5238,high,above_winner_line,baseline_multiplier=3809.52
bc99a7e458dc,instagram,battlebornsteve,P3: Someone on your side,Realtor code words Pt. 2,https://www.instagram.com/reel/DceVX_-qheI/,3000000.0,2500.0,1200.0,,,1200.0,high,above_winner_line,baseline_multiplier=1200.00
89fd0229cf0d,tiktok,jeffauerbach_real_estate,P1: Money you can live with,PRO TIP,https://www.tiktok.com/@jeffauerbach_real_estate/video/7676996546897939725,204600.0,267.0,766.2921,,,766.2921,high,above_winner_line,baseline_multiplier=766.29
0da5a1c041ea,instagram,amariscenteno_,P3: Someone on your side,👁️ DUPLEX IN FORT WORTH 👁️ EACH UNIT IS 4 BED | 2.5 BATH | 1600+ SQ FT,https://www.instagram.com/reel/DcO20CGJR6P/,738600.0,1200.0,615.5,,,615.5,high,above_winner_line,baseline_multiplier=615.50
a80b9028e9ac,tiktok,omabelle,P1: Money you can live with,POV : You're ready when it matters!,https://www.tiktok.com/@omabelle/video/7651705331965365518,4800000.0,9600.0,500.0,,,500.0,high,above_winner_line,baseline_multiplier=500.00
5cfccbd5b033,tiktok,flippinghouses,P1: Money you can live with,"I pulled 30,000 out of my 401k To buy my first house",https://www.tiktok.com/@flippinghouses/video/7662559947590225165,571500.0,1200.0,476.25,,,476.25,high,above_winner_line,baseline_multiplier=476.25
63e658c4dd54,instagram,kimseamanhomes,P3: Someone on your side,how your realtor will greet you based on how many showings you've been to,https://www.instagram.com/reel/DcbSS4pR6QU/,1600000.0,3600.0,444.4444,,,444.4444,high,above_winner_line,baseline_multiplier=444.44
8310ce001a69,tiktok,dreamque5,P3: Someone on your side,I FELL IN LOVE WITH THIS 14 ACRE TEXAS LUXURY RANCH ESTATE,https://www.tiktok.com/@dreamque5/video/7663760856265559309,132500.0,500.75,264.6031,,,264.6031,high,above_winner_line,baseline_multiplier=264.60
1009469089cd,tiktok,atxdfwnewhomedeals,P1: Money you can live with,HERE's how much house YOU can afford if you make $24/hour😱,https://www.tiktok.com/@atxdfwnewhomedeals/video/7667334012507016461,157300.0,635.5,247.5216,,,247.5216,high,above_winner_line,baseline_multiplier=247.52
20550797078c,tiktok,emilywakeford_,P1: Money you can live with,"how much you should make to buy a $750,000 home",https://www.tiktok.com/@emilywakeford_/video/7660651637454736654,472000.0,2100.0,224.7619,,,224.7619,high,above_winner_line,baseline_multiplier=224.76
0517b9283c7b,instagram,j_alejo_ny,P3: Someone on your side,THE FIRST OFFER IS OFTEN BEST,https://www.instagram.com/reel/DbrKkB0D_Gj/,236000.0,1100.0,214.5455,,,214.5455,high,above_winner_line,baseline_multiplier=214.55
0e18e45983c2,tiktok,melissadoesmortgages22,P3: Someone on your side,Six question your lender hopes you never ask,https://www.tiktok.com/@melissadoesmortgages22/video/7666312405001014559,73400.0,368.0,199.4565,,,199.4565,high,above_winner_line,baseline_multiplier=199.46
6a3adde563b4,tiktok,stephaford1,P3: Someone on your side,"Before you make an offer, drive the neighborhood at 7am, 3pm, and 9pm. Here's why.",https://www.tiktok.com/@stephaford1/video/7652137045111934239,775500.0,4400.0,176.25,,,176.25,high,above_winner_line,baseline_multiplier=176.25
e44a2b92f5d6,instagram,khrissellstampa,P1: Money you can live with,What is the worst thing someone can do before buying a house?,https://www.instagram.com/reel/Db6xbxqgpfn/,154900.0,923.5,167.7315,,,167.7315,high,above_winner_line,baseline_multiplier=167.73
cd915eb47666,instagram,republicanstandard,P1: Money you can live with,Wait until you see the monthly payment difference between 2019 and today...🤯,https://www.instagram.com/reel/DceCOpRjmnC/,456500.0,2900.0,157.4138,,,157.4138,high,above_winner_line,baseline_multiplier=157.41
449736f8b71f,instagram,houseofsekulich,P3: Someone on your side,LOCATED INSIDE BUDDHA MARKET,https://www.instagram.com/reel/DcCYTUeCYFI/,41700.0,276.0,151.087,,,151.087,high,above_winner_line,baseline_multiplier=151.09
a837e97e3707,instagram,sabrinaadorno_realestate,P3: Someone on your side,New construction? In this market?,https://www.instagram.com/reel/DcV9QQ6MmE3/,496300.0,4300.0,115.4186,,,115.4186,high,above_winner_line,baseline_multiplier=115.42
c3c90255c7b0,instagram,realmortgagedude,P1: Money you can live with,DOWN PAYMENT HELP FOR THE RICH,https://www.instagram.com/reel/DadozwDhJRU/,350700.0,3300.0,106.2727,,,106.2727,high,above_winner_line,baseline_multiplier=106.27
3b81ce05fff2,instagram,realmortgagedude,P1: Money you can live with,"THIS PROGRAM GIVES YOU $161,000 TO BUY A HOUSE",https://www.instagram.com/reel/Dbwh7a1TsA2/,261399.99999999997,2700.0,96.8148,,,96.8148,high,above_winner_line,baseline_multiplier=96.81
abef1bcb9d87,instagram,jaycipettus.realestate,P3: Someone on your side,Hey Barbie.,https://www.instagram.com/reel/DZ-OLkpJX3f/,132500.0,1500.0,88.3333,,,88.3333,high,above_winner_line,baseline_multiplier=88.33
625d09d002e7,tiktok,branthemortgageman,P1: Money you can live with,Why Did My Mortgage Payment Go Up Over $400?!🤯🏠,https://www.tiktok.com/@branthemortgageman/video/7654216215073770765,222400.0,2900.0,76.6897,,,76.6897,high,above_winner_line,baseline_multiplier=76.69
7a0590cdbae0,tiktok,wesleydulin_realtor,P3: Someone on your side,THIS PROPERTY HAS A LAZY RIVER IN THE BACKYARD.,https://www.tiktok.com/@wesleydulin_realtor/video/7662842708364512543,852000.0,12900.0,66.0465,,,66.0465,high,above_winner_line,baseline_multiplier=66.05
679bfaf90f57,tiktok,themortgagefox,P3: Someone on your side,I Bought This Lake House for $240K... Now It's Worth $500K,https://www.tiktok.com/@themortgagefox/video/7669012706921303326,210100.0,3400.0,61.7941,,,61.7941,high,above_winner_line,baseline_multiplier=61.79
c6c564f33ab2,tiktok,chaylpnjourney,P1: Money you can live with,Come budget my paycheck (2421.88),https://www.tiktok.com/@chaylpnjourney/video/7662133905474014494,51100.0,867.25,58.9219,,,58.9219,high,above_winner_line,baseline_multiplier=58.92
ad031f1353e1,instagram,91_homes_jaipur,P5: Seeing through the listing,30*60 Luxury 5BHK Kothi,https://www.instagram.com/reel/DbPL8mgTHzQ/,364700.0,6400.0,56.9844,,,56.9844,high,above_winner_line,baseline_multiplier=56.98
9ebea25e8cef,tiktok,sellwithzoli,P3: Someone on your side,"People say Palos Verdes is like it's one place, but it's actually four very different cities.",https://www.tiktok.com/@sellwithzoli/video/7670358237677391117,54900.0,977.0,56.1924,,,56.1924,high,above_winner_line,baseline_multiplier=56.19
e2a980ccd77c,tiktok,v.tpk,P1: Money you can live with,"ON THIS DAY JUNE 9, 2025",https://www.tiktok.com/@v.tpk/video/7649501164010032397,363100.0,6500.0,55.8615,,,55.8615,high,above_winner_line,baseline_multiplier=55.86
924054d10f2f,instagram,therewardsmom,P1: Money you can live with,I heard you signed up for the Costco credit card because you spend most of your grocery budget there,https://www.instagram.com/reel/DZdbTQQuJYU/,249600.0,4600.0,54.2609,,,54.2609,high,above_winner_line,baseline_multiplier=54.26
b38db78d6477,tiktok,drawer.6,P5: Seeing through the listing,ANYONE ELSE TRYING TO SELL A HOUSE IN SOUTHWEST FLORIDA,https://www.tiktok.com/@drawer.6/video/7658803002924436750,315400.0,5900.0,53.4576,,,53.4576,high,above_winner_line,baseline_multiplier=53.46
a99450e5a45b,tiktok,salinasrealty,P3: Someone on your side,POV: This House Has A Big Backyard,https://www.tiktok.com/@salinasrealty/video/7655428933227138317,271700.0,5100.0,53.2745,,,53.2745,high,above_winner_line,baseline_multiplier=53.27
8d792016729a,instagram,thatonemortgageguy,P1: Money you can live with,How to buy a home,https://www.instagram.com/reel/Db8fhWWiVv4/,102200.0,2100.0,48.6667,,,48.6667,high,above_winner_line,baseline_multiplier=48.67
074dea17390d,instagram,albsthelender,P1: Money you can live with,The 30 second affordability test,https://www.instagram.com/reel/DasobMGuqV_/,103300.0,2200.0,46.9545,,,46.9545,high,above_winner_line,baseline_multiplier=46.95
09c3c0228b20,tiktok,ericsfinancials,P1: Money you can live with,"Salary Needed for a $1,000,000 home",https://www.tiktok.com/@ericsfinancials/video/7652756302921207071,97900.0,2100.0,46.619,,,46.619,high,above_winner_line,baseline_multiplier=46.62
5923905b733c,tiktok,theagentedgar,P3: Someone on your side,"Phoenix, Az 4 Bed | 4 Bath RV Gate | Basement | .5 Acre | No HOA Link in bio to Apply",https://www.tiktok.com/@theagentedgar/video/7677747606877048078,87700.0,2000.0,43.85,,,43.85,high,above_winner_line,baseline_multiplier=43.85
61f5971acbbf,instagram,jeremytherealtor_,P1: Money you can live with,"Long Beach, Ca. Downpayment $30k",https://www.instagram.com/reel/DbJvplTBb_m/,199000.0,4600.0,43.2609,,,43.2609,high,above_winner_line,baseline_multiplier=43.26
07cde4849167,tiktok,candaceclipsdaily,P1: Money you can live with,Real Estate won't crash again,https://www.tiktok.com/@candaceclipsdaily/video/7665528222410427662,102300.0,2400.0,42.625,,,42.625,high,above_winner_line,baseline_multiplier=42.62
