date,source,segment_key,name,company,source_url,website,phone,email,location,buyer_segment,pain_signal,fast_cash_score,buyer_fit_score,workflow_pain_score,contactability_score,total_score,reason_to_contact,outreach_angle,connection_message_angle,follow_up_status,notes
2026-05-09,apify:maps,founder-led-experts,Elaine Lou Business and Career Coach,Elaine Lou Business and Career Coach,https://www.google.com/maps/search/?api=1&query=Elaine%20Lou%20Business%20and%20Career%20Coach&query_place_id=ChIJa_NydMXHwoAR_yKk4HH04Vs,https://elainelou.com/,(626) 765-5335,,"440 S Alameda St, Los Angeles, CA 90013",Founder-led expert/service business,Business management consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Business management consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,Matt Gerlach | Transformational Mindset & Business Coach,Matt Gerlach | Transformational Mindset & Business Coach,https://www.google.com/maps/search/?api=1&query=Matt%20Gerlach%20%7C%20Transformational%20Mindset%20%26%20Business%20Coach&query_place_id=ChIJAQ0SNHK5woARNjCLJtnfefU,https://mattgerlach.com/,(917) 634-0908,,"621 N Cherokee Ave, Los Angeles, CA 90004",Founder-led expert/service business,Life coach,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Life coach. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,Toussi International: Career Coaching,Toussi International: Career Coaching,https://www.google.com/maps/search/?api=1&query=Toussi%20International%3A%20Career%20Coaching&query_place_id=ChIJq6qqFrJsXz4R-WIP6huDvm0,https://www.samitoussi.com/,(713) 653-4494,,"11874 Rochester Ave, Los Angeles, CA 90025",Founder-led expert/service business,Business management consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Business management consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,"Dan Gordon Enterprise, LLC","Dan Gordon Enterprise, LLC",https://www.google.com/maps/search/?api=1&query=Dan%20Gordon%20Enterprise%2C%20LLC&query_place_id=ChIJXe1BHKa5woARAn21aR_d2mg,http://www.dangordonenterprise.com/,(818) 613-1984,,"7190 Sunset Blvd Suite 33A, Los Angeles, CA 90046",Founder-led expert/service business,Business management consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Business management consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,"Wave Makers Group, LLC","Wave Makers Group, LLC",https://www.google.com/maps/search/?api=1&query=Wave%20Makers%20Group%2C%20LLC&query_place_id=ChIJATo-_c0lxokRGETr2Ibzpog,https://www.wavemakersgroup.com/,(310) 560-2531,,"660 Las Lomas Ave, Pacific Palisades, CA 90272",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,facilitybrand,facilitybrand,https://www.google.com/maps/search/?api=1&query=facilitybrand&query_place_id=ChIJJ-7mipCjwoARYcELCjyYRQc,http://facilitybrand.com/,(310) 403-4721,,"16789 Edgar St, Pacific Palisades, CA 90272",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,MochaBear Marketing,MochaBear Marketing,https://www.google.com/maps/search/?api=1&query=MochaBear%20Marketing&query_place_id=ChIJjbFArbCkwoARCXepa8iPqcc,http://mochabearmarketing.com/,(424) 272-6712,,"Los Angeles, CA 90272",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,COLAB | Digital Marketing Agency Los Angeles,COLAB | Digital Marketing Agency Los Angeles,https://www.google.com/maps/search/?api=1&query=COLAB%20%7C%20Digital%20Marketing%20Agency%20Los%20Angeles&query_place_id=ChIJb406Qz-cwoAR7J5kUtwkcH8,https://colablosangeles.com/,(855) 265-2252,,"21300 Victory Blvd #860, Woodland Hills, CA 91367",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,Simply Branded,Simply Branded,https://www.google.com/maps/search/?api=1&query=Simply%20Branded&query_place_id=ChIJ_S09i4u7woARGpheeqKwedU,http://simply-branded.com/,(323) 419-5989,,"3415 S Sepulveda Blvd Ste. 1000, Los Angeles, CA 90034",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
2026-05-09,apify:maps,founder-led-experts,EDK and Company,EDK and Company,https://www.google.com/maps/search/?api=1&query=EDK%20and%20Company&query_place_id=ChIJeeMzNLKawoARPGKph55GiCs,http://www.edkandco.com/,(818) 488-1543,,"11856 Balboa Blvd Suite 111, Granada Hills, CA 91344",Founder-led expert/service business,Marketing consultant,5,5,5,4,19,"Founder-led experts usually have customer language, offer judgment, sales follow-up, content workflow, and delivery standards living in the founder's head.","Open with the correction-tax question: where is AI already close to useful, but still wrong enough that you have to rescue it?",Noticed your work around Marketing consultant. I am mapping where AI output looks finished but still needs expert correction. Curious where that shows up in your workflow?,manual_review_required,Do not contact until manually reviewed. No LinkedIn automation.
