priority,source,title,url,fit,first_angle,status
1,Upwork,AI Workflow Specialist,https://www.upwork.com/freelance-jobs/apply/Workflow-Specialist_~022007279733622875791/,"Recent, broad AI workflow design and optimization role","Map where workflow forces AI to guess before implementation",manual_review_required
2,Upwork,Custom GPT & AI Agent Developer - Internal Tools Email Workflow Data Tracking,https://www.upwork.com/freelance-jobs/apply/Custom-GPT-Agent-Developer-Internal-Tools-Email-Workflow-Data-Tracking_~022008224576935394316/,"Strong fit for goal-driven GPTs, constraints, logging, documentation","Define source-of-truth, authority, and logging rules before GPT build",manual_review_required
3,Upwork,AI Workflow Systems Engineer,https://www.upwork.com/freelance-jobs/apply/Workflow-Systems-Engineer_~022011313068415747965/,"Existing AI system evaluation, failure points, semantic search","Misfire Map of current data flow and matching failures",manual_review_required
4,Upwork,AI workflow engineer,https://www.upwork.com/freelance-jobs/apply/workflow-engineer_~021952769217498095993/,"Modular prompt-based AI workflow with prompt clusters","Diagnose one prompt cluster before scaling unclear prompts",manual_review_required
5,Upwork,AI Solutions Consultant Prompt Engineer Automation Bids,https://www.upwork.com/freelance-jobs/apply/Solutions-Consultant-Prompt-Engineer-Automation-Bids_~021989804788830237122/,"Bid workflow prompt frameworks and reusable libraries","Source hierarchy and claim/evaluation rules for bid prompts",manual_review_required
6,PeoplePerHour,AI Automation Consultant,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-consulting,"Recent remote AI consulting category listing","Map process points needing rules/examples/human approval",manual_review_required
7,Wellfound,IXO LLM Prompt Engineering Specialist,https://wellfound.com/jobs/4174603-llm-prompt-engineering-specialist-ai-training-remote-us-uk-ca-de-au,"Contract prompt/eval/red-team role","Diagnose prompt failure modes and eval weaknesses",manual_review_required
8,Wellfound,Layers AI Gen AI Prompt Engineer Context Engineer,https://wellfound.com/jobs/3402351-gen-ai-prompt-engineer-context-engineer,"Role title already matches context engineering","Source-of-truth hierarchy and quality-test positioning",manual_review_required
9,Upwork,AI Workflow Automation Specialist Full-Time Remote,https://www.upwork.com/freelance-jobs/apply/Workflow-Automation-Specialist-Full-Time-Remote-500-Month_~021956751980778400710/,"Workflow feasibility analysis and client-specific requirements","Offer diagnostic feasibility map before long-term automation",manual_review_required
10,Upwork,Design and Deploy AI-Powered Automations,https://www.upwork.com/freelance-jobs/apply/Design-Deploy-Powered-Automations_~021992930792734167752/,"$300 fixed price; prototype AI agents and document handoff","Use Founding Proof framing as scoped diagnostic/prototype",manual_review_required
