Name,Business,Category,Channel,Relationship,Specific Observation,Offer Price,First Contact Date,Follow Up Count,Status,Next Action,Notes
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Warm,,,,0,Not contacted,,
,,,,Referral,,,,0,Not contacted,,
,,,,Referral,,,,0,Not contacted,,
,,,,Referral,,,,0,Not contacted,,
,,,,Referral,,,,0,Not contacted,,
,,,,Referral,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
,,,,Cold,,,,0,Not contacted,,
